,colony,treatment,week,date,exp_date,bees_sum_perweek,comb_sum_perweek,first_comb_frame,bees_percombcm2,combcm2_perbee,nframes_with_comb,avg_comb_perframe,initial_region,nestarea_seasontotal,prop_area_seasontotal,days_since_last_insp,nestheight,nestwidth,nestaspecthw,nestdepth,nestarea,nestareagrowth,nestcentX,nestcentY,nestcentZ,nestheightperc,nestwidthperc,nestdepthperc,nestareaperc,initialN,initialE,initialQ,initialQl,bees_sumgrowth,nframes_growth,Weight_Day_Mean,Weight_Gain,Temp_Day_Mean,Temp_Week_Mean,Temp_OO_Mean,Amb_Temp_Day_Mean,Amb_Temp_Day_Min,Amb_Temp_Day_Max,Amb_Temp_Day_Diff,Precip_Day_Ttl,Cloud_Cover_Mean,Wind_Mean,Nest_Amb_Diff,Nest_Amb_Diff_Mean,Nest_Amb_Diff_Min,Nest_Amb_Diff_Max,Gram_perBee
0,DD1,DD,0,0,0,10700.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,10700.0,0.0,1.8864323507180645,0.0,15.57222222222222,22.826561622255745,-17.75777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1813877260305831
1,DD1,DD,1,20210412,8,4600.0,1687.5,9.0,0.0,0.0,6.0,281.25,3,8187.5,0.2061068702290076,8.0,19.689324960753535,22.39576138147567,0.9956392096700922,6.0,1827.6836217650934,1827.6836217650934,509.3333333333333,124.66666666666667,7.625437572928821,0.9651629882722321,0.5196232339089483,0.6,0.20787084547621737,0.0,0.0,4.0,SW,-6500.0,-4.0,5.915289925494006,4.028857574775942,27.78275862068966,30.840684665156957,-5.547241379310342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.285932592498697
2,DD1,DD,2,20210419,15,5700.0,2750.0,9.0,0.0,0.0,8.0,343.75,3,8187.5,0.3358778625954198,7.0,19.892307692307696,29.635478806907383,0.8067660083622098,8.0,2981.746764316644,1154.0631425515508,473.25,117.375,7.083834453484259,0.975113122171946,0.6875981161695448,0.8,0.33912774263189166,0.0,0.0,4.0,SW,1100.0,2.0,2.5880574452003016,-3.3272324802937048,32.24011111111109,30.210455895768263,-1.3923222222222216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4540451658246143
3,DD1,DD,3,20210426,22,4700.0,3650.0,9.0,0.0,0.0,9.0,405.55555555555554,3,8187.5,0.4458015267175572,7.0,20.0276295133438,33.35682888540032,0.6972559229592294,9.0,3777.041295959032,795.2945316423879,455.3333333333333,116.11111111111111,6.639112343966713,0.981746544771755,0.7739403453689169,0.9,0.4295802392929157,0.0,0.0,4.0,SW,-1000.0,1.0,3.571079713936856,0.9830222687365544,26.002222222222223,30.373223955896293,-7.327777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7598041944546502
4,DD1,DD,4,20210502,28,6800.0,4725.0,9.0,0.0,0.0,9.0,525.0,3,8187.5,0.5770992366412214,6.0,20.16295133437991,39.24332810047096,0.590981118871862,9.0,4957.551537648269,1180.5102416892373,415.3333333333333,127.55555555555556,6.349709691826708,0.9883799673715642,0.9105180533751963,0.9,0.5638450863982837,0.0,0.0,4.0,SW,2100.0,0.0,4.733938019652304,1.162858305715448,30.155092592592595,30.373223955896293,-3.62824074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6961673558312212
5,DD1,DD,5,20210508,34,10700.0,6262.5,9.0,336.8421052631579,0.00296875,10.0,626.25,3,8187.5,0.7648854961832061,6.0,19.959968602825747,43.1,0.5538606261704315,10.0,6377.074519320108,1419.5229816718386,384.6,133.0,5.864688856729378,0.9784298334718504,1.0,1.0,0.72529394924254,0.0,0.0,4.0,SW,3900.0,1.0,6.049130763416478,1.3151927437641744,25.996296296296304,30.540440494886845,-7.3337037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.565339323683783
6,DD1,DD,6,20210517,43,8300.0,7625.0,9.0,133.33333333333334,0.0075,10.0,762.5,3,8187.5,0.931297709923664,9.0,20.230612244897962,43.1,0.4729119253477906,10.0,7872.505299295906,1495.4307799757987,334.1,142.7,5.530429212043562,0.9916966786714688,1.0,1.0,0.8953761543259982,0.0,0.0,4.0,SW,-2400.0,0.0,7.147770219198789,1.098639455782311,34.59440836940836,32.81483491285359,-0.5578066378066364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8611771348432277
7,DD1,DD,7,20210524,50,10300.0,7812.5,9.0,112.0,0.0089285714285714,10.0,781.25,3,8187.5,0.9541984732824428,7.0,20.298273155416016,43.1,0.47178516928016734,10.0,7986.6897456681045,115.68602998257688,330.2,144.0,5.5114467408585055,0.9950133899713735,1.0,1.0,0.9083628754001302,0.0,0.0,4.0,SW,2000.0,0.0,7.286659108087679,0.13888888888888928,34.46020036429873,33.24599569799667,-0.3718897996357004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7074426318531727
8,DD1,DD,8,20210531,57,11200.0,7975.0,9.0,103.70370370370372,0.0096428571428571,10.0,797.5,3,8187.5,0.9740458015267176,7.0,20.365934065934066,43.1,0.4689032736703843,10.0,8096.0718712863745,116.36357380677146,328.3,144.8,5.513159968479117,0.9983301012712779,1.0,1.0,0.9208034064972448,0.0,0.0,4.0,SW,900.0,0.0,7.667800453514741,0.38114134542706246,32.28400673400674,32.3716940340145,-1.4217508417508415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6846250404923876
9,DD1,DD,9,20210608,65,7000.0,8150.0,9.0,72.72727272727273,0.01375,10.0,815.0,3,8187.5,0.9954198473282444,8.0,20.568916797488228,43.1,0.46983408260293025,10.0,8387.8094235883,302.11587560902956,320.3,147.2,5.498585795097423,1.0082802351709916,1.0,1.0,0.953984057093433,0.0,0.0,4.0,SW,-4200.0,0.0,9.639644746787605,1.9718442932728637,34.26634408602148,34.19713395717496,-0.4481146953405008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3770921066839434
10,DD1,DD,10,20210615,72,8500.0,8187.5,9.0,84.84848484848484,0.0117857142857142,10.0,818.75,3,8187.5,1.0,7.0,20.43359497645212,43.1,0.4684284796674777,10.0,8351.620342978396,1.8724015141621067,320.0,147.2,5.499057492931197,1.0016468125711824,1.0,1.0,0.9498681068853096,0.0,0.0,4.0,SW,1500.0,0.0,8.554043839758124,-1.0856009070294803,34.39246031746032,34.51155250284468,-0.4654535147392287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.006358098795073
11,DD1,DD,11,20210623,80,12200.0,8125.0,9.0,145.45454545454547,0.006875,10.0,812.5,3,8187.5,0.9923664122137404,8.0,20.43359497645212,43.1,0.4688792759379581,10.0,8329.078276827458,1.4603816210703826,320.2,147.1,5.5007861635220126,1.0016468125711824,1.0,1.0,0.9473042942572516,0.0,0.0,4.0,SW,3700.0,0.0,7.87509448223734,-0.6789493575207848,31.597453703703696,34.264270435503185,-1.8428703703703695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6454995477243721
12,DD1,DD,12,20210706,87,9500.0,8187.5,9.0,157.57575757575756,0.0063461538461538,10.0,818.75,3,8187.5,1.0,7.0,20.365934065934066,43.1,0.46525287200241994,10.0,8278.596683926078,1.5885655878095122,320.8,146.4,5.501100975149418,0.9983301012712779,1.0,1.0,0.9415627910384057,0.0,0.0,4.0,SW,-2700.0,0.0,7.671201814058954,-0.20389266817838525,34.12239057239058,34.374595610441936,-0.2449046015712678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8074949277956794
13,DD2,DD,0,0,0,10700.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,10700.0,0.0,2.68915343915344,0.0,16.111805555555552,19.85768079501916,-17.356944444444448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2585724460724461
14,DD2,DD,1,20210412,8,6300.0,1737.5,9.0,0.0,0.0,6.0,289.5833333333333,3,7750.0,0.2241935483870967,8.0,19.689324960753535,24.019623233908952,0.9667517819592634,6.0,1955.167154686534,1955.167154686534,144.83333333333334,124.5,7.828029034059185,0.9651629882722321,0.5572998430141288,0.6,0.2223701326926134,0.0,1.0,3.0,SE,6300.0,6.0,6.763920382968003,4.074766943814563,28.11785714285714,30.966989774754456,-5.212142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.073638156026667
15,DD2,DD,2,20210419,15,6000.0,3087.5,9.0,0.0,0.0,8.0,385.9375,3,7750.0,0.3983870967741935,7.0,19.892307692307696,32.47723704866562,0.7395375191819055,8.0,3522.7059939522255,1567.5388392656914,184.25,126.75,7.047314578005115,0.975113122171946,0.7535321821036107,0.8,0.4006535182603414,0.0,1.0,3.0,SE,-300.0,2.0,3.2743764172335617,-3.489543965734441,32.63771043771043,29.958051898202147,-1.545173961840628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5457294028722603
16,DD2,DD,3,20210426,22,5400.0,4200.0,9.0,0.0,0.0,9.0,466.6666666666667,3,7750.0,0.5419354838709678,7.0,20.095290423861854,36.94285714285715,0.6553142348416133,9.0,4547.266706106185,1024.560712153959,211.55555555555554,124.88888888888889,6.632734530938124,0.9850632560716596,0.8571428571428573,0.9,0.5171815097250108,0.0,1.0,3.0,SE,-600.0,1.0,4.577882435025293,1.3035060177917313,26.65918803418803,30.91980576645363,-6.6880341880341865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8477560064861653
