,colony,treatment,date,beeframe,side,filename,week,exp_date,ncombs,centX,centY,rmaxid,rmaxpos,rmax,width,cmaxid,cmaxpos,cmax,height,aspecthw,perim,area,perarea,centX2,centY2,rmaxid2,rmaxpos2,rmax2,width2,cmaxid2,cmaxpos2,cmax2,height2,aspecthw2,perim2,area2,perarea2,areagrowth,area2growth,QR,position,invert_frame,bees,bees_sum,comb_sq,comb_sum,comb_cm2,core_position,frame_unique,bees_onframe,bees_sum_perweek,first_comb_frame,bees_percombcm2,combcm2_perbee,nframes_with_comb,comb_birthday,comb_age,comb_sum_perweek,avg_comb_perframe,comb_prop_ttl,birthday_nestsize,nestarea_seasontotal,prop_area_seasontotal,comb_growth,combcm2_growth,comb_growth_prop,combcm2_lastweek,emptyspace_onframe,framesfromfirst,initial_region,comb_cm2_neibL,comb_cm2_neibR,comb_cm2_neib_avg,bees_neibL,bees_neibR,bees_neib_avg,n_comb_neibs,2_comb_neibs,bi_2_comb_neibs,nest_edge,nest_edge_triplet,last_pos,next_pos,last_neibR,last_neibR_combcm2,last_neibL,last_neibL_combcm2,last_neibBigger_comb,last_neibSmaller_comb,last_neib_combavg,this_neibR,this_neibR_combcm2,this_neibL,this_neibL_combcm2,this_neibBigger_comb,this_neibSmaller_comb,this_neib_combavg,neighborhood_change,next_neibR,next_neibR_combcm2,next_neibL,next_neibL_combcm2,next_neibBigger_comb,next_neibSmaller_comb,next_neib_combavg,days_since_last_insp,nestheight,nestheight2,nestheightperc,nestwidth,nestwidth2,nestwidthperc,frameaspecthw,nestaspecthw,nestdepth,nestdepthperc,nestarea,nestarea2,nestareaperc,nestareagrowth,nestarea2growth,nestcentX,nestcentX2,nestcentY,nestcentY2,rmaxsum,nestcentZprep,Zweight,nestcentZ,initialN,initialE,initialQ,initialQl
0,CC1,CC,20210615,1.0,a,DSC_2500.JPG,10,72,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,y,1,n,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7300.0,10.0,0.0,0.0,9.0,129.0,0.0,6762.5,751.3888888888889,0.0,6525.0,7662.5,0.8825448613376835,0.0,0.0,0.0,0.0,850.0,9.0,3,,500.0,500.0,,600.0,600.0,1.0,No,0,0.0,1,1.0,1.0,2.0,500.0,,,,,500.0,2.0,500.0,,,,,500.0,0.0,2.0,500.0,,,,,500.0,49.0,,,,,,,,,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,-1.0,-1.0,,
1,CC1,CC,20210615,1.0,b,DSC_2501.JPG,10,72,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,y,1,n,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7300.0,10.0,0.0,0.0,9.0,129.0,0.0,6762.5,751.3888888888889,0.0,6525.0,7662.5,0.8825448613376835,0.0,0.0,0.0,0.0,850.0,9.0,3,,500.0,500.0,,600.0,600.0,1.0,No,0,0.0,1,1.0,1.0,2.0,500.0,,,,,500.0,2.0,500.0,,,,,500.0,0.0,2.0,500.0,,,,,500.0,49.0,,,,,,,,,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,-1.0,-1.0,,
2,CC1,CC,20210615,2.0,a,DSC_2502.JPG,10,72,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,y,2,n,6.0,0.0,20.0,0.0,500.0,0.0,1.0,600.0,7300.0,10.0,120.0,0.0083333333333333,9.0,23.0,49.0,6762.5,751.3888888888889,0.0029574861367837,3012.5,7662.5,0.8825448613376835,20.0,500.0,10.0,0.0,350.0,8.0,3,0.0,625.0,312.5,100.0,700.0,400.0,1.0,No,0,1.0,1,2.0,2.0,3.0,625.0,1.0,0.0,625.0,0.0,312.5,3.0,625.0,1.0,0.0,625.0,0.0,312.5,0.0,3.0,625.0,1.0,0.0,625.0,0.0,312.5,49.0,,,,,,,,,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,-1.0,-1.0,,
3,CC1,CC,20210615,2.0,b,DSC_2503.JPG,10,72,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,y,2,n,6.0,0.0,20.0,0.0,500.0,0.0,1.0,600.0,7300.0,10.0,120.0,0.0083333333333333,9.0,23.0,49.0,6762.5,751.3888888888889,0.0029574861367837,3012.5,7662.5,0.8825448613376835,20.0,500.0,10.0,0.0,350.0,8.0,3,0.0,625.0,312.5,100.0,700.0,400.0,1.0,No,0,1.0,1,2.0,2.0,3.0,625.0,1.0,0.0,625.0,0.0,312.5,3.0,625.0,1.0,0.0,625.0,0.0,312.5,0.0,3.0,625.0,1.0,0.0,625.0,0.0,312.5,49.0,,,,,,,,,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,-1.0,-1.0,,
4,CC1,CC,20210615,3.0,a,DSC_2504.JPG,10,72,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,y,3,n,7.0,0.0,25.0,0.0,625.0,0.0,2.0,700.0,7300.0,10.0,112.0,0.0089285714285714,9.0,8.0,64.0,6762.5,751.3888888888889,0.0036968576709796,1362.5,7662.5,0.8825448613376835,21.0,525.0,5.25,100.0,225.0,7.0,3,500.0,737.5,618.75,600.0,700.0,650.0,2.0,Yes,1,0.0,1,3.0,3.0,4.0,737.5,2.0,500.0,737.5,500.0,618.75,4.0,737.5,2.0,500.0,737.5,500.0,618.75,0.0,4.0,737.5,2.0,500.0,737.5,500.0,618.75,49.0,,,,,,,,,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,-1.0,-1.0,,
5,CC1,CC,20210615,3.0,b,DSC_2505.JPG,10,72,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,y,3,n,7.0,0.0,25.0,0.0,625.0,0.0,2.0,700.0,7300.0,10.0,112.0,0.0089285714285714,9.0,8.0,64.0,6762.5,751.3888888888889,0.0036968576709796,1362.5,7662.5,0.8825448613376835,21.0,525.0,5.25,100.0,225.0,7.0,3,500.0,737.5,618.75,600.0,700.0,650.0,2.0,Yes,1,0.0,1,3.0,3.0,4.0,737.5,2.0,500.0,737.5,500.0,618.75,4.0,737.5,2.0,500.0,737.5,500.0,618.75,0.0,4.0,737.5,2.0,500.0,737.5,500.0,618.75,49.0,,,,,,,,,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,-1.0,-1.0,,
6,CC1,CC,20210615,4.0,a,DSC_2506.JPG,10,72,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,y,4,n,7.0,0.0,29.5,0.0,737.5,0.0,3.0,700.0,7300.0,10.0,94.91525423728814,0.0105357142857142,9.0,8.0,64.0,6762.5,751.3888888888889,0.004362292051756,1362.5,7662.5,0.8825448613376835,21.0,525.0,2.4705882352941178,212.5,112.5,6.0,3,625.0,800.0,712.5,700.0,700.0,700.0,2.0,Yes,1,0.0,0,4.0,4.0,5.0,800.0,3.0,625.0,800.0,625.0,712.5,5.0,800.0,3.0,625.0,800.0,625.0,712.5,0.0,5.0,800.0,3.0,625.0,800.0,625.0,712.5,49.0,,,,,,,,,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,-1.0,-1.0,,
7,CC1,CC,20210615,4.0,b,DSC_2507.JPG,10,72,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,y,4,n,7.0,0.0,29.5,0.0,737.5,0.0,3.0,700.0,7300.0,10.0,94.91525423728814,0.0105357142857142,9.0,8.0,64.0,6762.5,751.3888888888889,0.004362292051756,1362.5,7662.5,0.8825448613376835,21.0,525.0,2.4705882352941178,212.5,112.5,6.0,3,625.0,800.0,712.5,700.0,700.0,700.0,2.0,Yes,1,0.0,0,4.0,4.0,5.0,800.0,3.0,625.0,800.0,625.0,712.5,5.0,800.0,3.0,625.0,800.0,625.0,712.5,0.0,5.0,800.0,3.0,625.0,800.0,625.0,712.5,49.0,,,,,,,,,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,-1.0,-1.0,,
8,CC1,CC,20210615,5.0,a,DSC_2508.JPG,10,72,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,y,5,n,7.0,0.0,32.0,0.0,800.0,0.0,4.0,700.0,7300.0,10.0,87.5,0.0114285714285714,9.0,8.0,64.0,6762.5,751.3888888888889,0.0047319778188539,1362.5,7662.5,0.8825448613376835,19.0,475.0,1.4615384615384617,325.0,50.0,5.0,3,737.5,825.0,781.25,700.0,1000.0,850.0,2.0,Yes,1,0.0,0,5.0,5.0,6.0,825.0,4.0,737.5,825.0,737.5,781.25,6.0,825.0,4.0,737.5,825.0,737.5,781.25,0.0,6.0,825.0,4.0,737.5,825.0,737.5,781.25,49.0,,,,,,,,,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,-1.0,-1.0,,
9,CC1,CC,20210615,5.0,b,DSC_2509.JPG,10,72,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,y,5,n,7.0,0.0,32.0,0.0,800.0,0.0,4.0,700.0,7300.0,10.0,87.5,0.0114285714285714,9.0,8.0,64.0,6762.5,751.3888888888889,0.0047319778188539,1362.5,7662.5,0.8825448613376835,19.0,475.0,1.4615384615384617,325.0,50.0,5.0,3,737.5,825.0,781.25,700.0,1000.0,850.0,2.0,Yes,1,0.0,0,5.0,5.0,6.0,825.0,4.0,737.5,825.0,737.5,781.25,6.0,825.0,4.0,737.5,825.0,737.5,781.25,0.0,6.0,825.0,4.0,737.5,825.0,737.5,781.25,49.0,,,,,,,,,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,-1.0,-1.0,,
